,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
115,Bogra,1982,33.69166667,20.55,101.9166667,75.33333333,1.1,2.891666667,7.125,620545.0,351155,263170,118860.0,52770.0,177300,91830.0,108390.0
116,Chandpur,1982,33.13333333,21.225,264.0,79.91666667,0.6,3.375,5.566666667000001,,,,,,,,
117,Chittagong,1982,32.64166667,21.30833333,229.75,77.0,3.008333333,3.141666667,7.091666667,551645.0,352320,217485,136245.0,,,232815.0,278965.0
118,Comilla,1982,33.24166667,20.36666667,182.0833333,78.83333333,1.141666667,2.808333333,7.325,912050.0,441920,488535,229245.0,79060.0,285405,265520.0,303775.0
119,Cox's Bazar,1982,33.01666667,21.31666667,308.6666667,78.0,1.458333333,2.958333333,7.941666667000001,,,,,,,,
120,Dhaka,1982,33.80833333,21.125,150.41666669999995,75.5,1.1,3.333333333,6.783333333,652610.0,315175,417890,179105.0,128770.0,452640,283635.0,315785.0
121,Dinajpur,1982,33.45,19.44166667,111.8333333,69.91666667,0.7333333329999999,3.083333333,6.339,880865.0,442845,416430,161180.0,47485.0,166130,23405.0,25545.0
122,Faridpur,1982,33.45833333,21.09166667,117.5,76.91666667,0.7666666670000001,1.858333333,6.607183908,683590.0,210275,517000,140710.0,152210.0,427975,94310.0,104420.0
123,Feni,1982,33.58333333,20.78333333,282.25,78.75,1.333333333,3.75,6.332183907999999,,,,,,,,
124,Noakhali,1982,32.625,22.54166667,205.25,78.83333333,1.55,2.966666667,6.462356322000001,717150.0,306850,261970,143245.0,5935.0,19405,147160.0,130315.0
125,Ishurdi,1982,34.40833333,20.11666667,104.4166667,72.66666667,1.2,2.55,6.606034482999999,,,,,,,,
126,Jessore,1982,34.825,20.55833333,107.9166667,75.16666667,2.208333333,3.641666667,6.291666667,665235.0,267640,538100,205425.0,161295.0,510705,59510.0,62275.0
127,Khepupara,1982,32.5,22.175,210.8333333,75.91666667,1.983333333,3.483333333,6.048397436,,,,,,,,
128,Khulna,1982,33.59166667,21.46666667,115.0,79.16666667,1.35,2.741666667,6.618888889,985225.0,465370,114030,46170.0,24200.0,72100,53545.0,40500.0
129,Kutubdia,1982,32.51551724,22.27701149,214.3333333,81.75,1.791666667,3.5022988510000004,7.004722222000001,,,,,,,,
130,Madaripur,1982,34.29166667,20.575,162.41666669999995,72.83333333,0.575,3.466666667,5.645833333,,,,,,,,
131,Maijdee Court,1982,32.625,20.40833333,299.25,74.08333333,0.916666667,3.066666667,6.297413793,,,,,,,,
132,Mymensingh,1982,33.575,20.675,196.1666667,69.16666667,1.5666666669999998,3.591666667,5.9916666670000005,645685.0,312085,450075,246965.0,117035.0,393455,140590.0,112645.0
133,Patuakhali,1982,32.83333333,22.3,187.3333333,74.08333333,2.075,3.583333333,5.734195402,682795.0,313075,168495,59075.0,1095.0,1820,19440.0,15770.0
